id,land_id,case_details,status
64,L099,Ownership issue resolved (Court: High Court),closed
65,L100,Ownership issue resolved (Court: High Court),closed
66,L102,Boundary dispute ongoing (Court: District Court),ongoing
67,L104,Boundary dispute ongoing (Court: District Court),ongoing
68,L106,Boundary dispute ongoing (Court: District Court),ongoing
69,L107,Boundary dispute ongoing (Court: District Court),ongoing
70,L109,Ownership issue resolved (Court: High Court),closed
71,L110,Ownership issue resolved (Court: High Court),closed
72,L111,Boundary dispute ongoing (Court: District Court),ongoing
73,L112,Boundary dispute ongoing (Court: District Court),closed
74,L113,Boundary dispute ongoing (Court: District Court),ongoing
75,L114,Ownership issue resolved (Court: High Court),closed
76,L116,Ownership issue resolved (Court: High Court),closed
77,L117,Ownership issue resolved (Court: High Court),closed
78,L118,Ownership issue resolved (Court: High Court),closed
79,L119,Ownership issue resolved (Court: High Court),closed
80,L120,Ownership issue resolved (Court: High Court),closed
81,L121,Boundary dispute ongoing (Court: District Court),ongoing
82,L122,Boundary dispute ongoing (Court: District Court),ongoing
83,L123,Boundary dispute ongoing (Court: District Court),ongoing
84,L124,Ownership issue resolved (Court: High Court),closed
85,L125,Ownership issue resolved (Court: High Court),closed
86,L127,Ownership issue resolved (Court: High Court),closed
87,L129,Boundary dispute ongoing (Court: District Court),ongoing
88,L131,Boundary dispute ongoing (Court: District Court),ongoing
89,L132,Ownership issue resolved (Court: High Court),closed
90,L133,Ownership issue resolved (Court: High Court),closed
91,L134,Boundary dispute ongoing (Court: District Court),ongoing
92,L136,Ownership issue resolved (Court: High Court),closed
93,L138,Ownership issue resolved (Court: High Court),closed
94,L139,Ownership issue resolved (Court: High Court),closed
95,L141,Boundary dispute ongoing (Court: District Court),ongoing
96,L142,Ownership issue resolved (Court: High Court),closed
97,L143,Ownership issue resolved (Court: High Court),closed
98,L144,Ownership issue resolved (Court: High Court),closed
99,L145,Boundary dispute ongoing (Court: District Court),ongoing
100,L146,Boundary dispute ongoing (Court: District Court),ongoing
101,L148,Boundary dispute ongoing (Court: District Court),ongoing
102,L149,Ownership issue resolved (Court: High Court),closed
103,L150,Boundary dispute ongoing (Court: District Court),ongoing
104,L151,Ownership issue resolved (Court: High Court),closed
105,L152,Ownership issue resolved (Court: High Court),closed
106,L154,Ownership issue resolved (Court: High Court),closed
107,L155,Boundary dispute ongoing (Court: District Court),ongoing
108,L156,Boundary dispute ongoing (Court: District Court),ongoing
109,L157,Ownership issue resolved (Court: High Court),closed
110,L158,Boundary dispute ongoing (Court: District Court),ongoing
111,L159,Ownership issue resolved (Court: High Court),closed
112,L161,Boundary dispute ongoing (Court: District Court),ongoing
113,L164,Boundary dispute ongoing (Court: District Court),ongoing
114,L170,Boundary dispute ongoing (Court: District Court),ongoing
115,L171,Ownership issue resolved (Court: High Court),closed
116,L173,Ownership issue resolved (Court: High Court),closed
117,L175,Boundary dispute ongoing (Court: District Court),ongoing
118,L177,Ownership issue resolved (Court: High Court),closed
119,L178,Ownership issue resolved (Court: High Court),closed
120,L180,Ownership issue resolved (Court: High Court),closed
121,L181,Ownership issue resolved (Court: High Court),closed
122,L183,Boundary dispute ongoing (Court: District Court),ongoing
123,L184,Boundary dispute ongoing (Court: District Court),ongoing
124,L186,Ownership issue resolved (Court: High Court),closed
125,L187,Ownership issue resolved (Court: High Court),closed
126,L189,Boundary dispute ongoing (Court: District Court),ongoing
127,L190,Ownership issue resolved (Court: High Court),closed
128,L191,Boundary dispute ongoing (Court: District Court),ongoing
129,L192,Boundary dispute ongoing (Court: District Court),ongoing
130,L195,Boundary dispute ongoing (Court: District Court),ongoing
131,L197,Boundary dispute ongoing (Court: District Court),ongoing
132,L198,Ownership issue resolved (Court: High Court),closed
133,L199,Ownership issue resolved (Court: High Court),closed
134,L200,Ownership issue resolved (Court: High Court),closed
135,L202,Ownership issue resolved (Court: High Court),closed
136,L203,Boundary dispute ongoing (Court: District Court),ongoing
137,L205,Boundary dispute ongoing (Court: District Court),ongoing
138,L206,Boundary dispute ongoing (Court: District Court),ongoing
139,L207,Boundary dispute ongoing (Court: District Court),ongoing
140,L208,Ownership issue resolved (Court: High Court),closed
141,L209,Boundary dispute ongoing (Court: District Court),ongoing
142,L210,Ownership issue resolved (Court: High Court),closed
143,L211,Boundary dispute ongoing (Court: District Court),ongoing
144,L212,Ownership issue resolved (Court: High Court),closed
145,L213,Boundary dispute ongoing (Court: District Court),ongoing
146,L214,Boundary dispute ongoing (Court: District Court),ongoing
147,L216,Ownership issue resolved (Court: High Court),closed
148,L217,Ownership issue resolved (Court: High Court),closed
149,L219,Ownership issue resolved (Court: High Court),closed
150,L220,Boundary dispute ongoing (Court: District Court),ongoing
151,L221,Boundary dispute ongoing (Court: District Court),ongoing
152,L223,Ownership issue resolved (Court: High Court),closed
153,L225,Boundary dispute ongoing (Court: District Court),ongoing
154,L226,Boundary dispute ongoing (Court: District Court),ongoing
155,L229,Ownership issue resolved (Court: High Court),closed
156,L230,Boundary dispute ongoing (Court: District Court),ongoing
157,L232,Boundary dispute ongoing (Court: District Court),ongoing
158,L233,Ownership issue resolved (Court: High Court),closed
159,L234,Ownership issue resolved (Court: High Court),closed
160,L235,Ownership issue resolved (Court: High Court),closed
161,L237,Ownership issue resolved (Court: High Court),closed
162,L238,Boundary dispute ongoing (Court: District Court),ongoing
163,L239,Ownership issue resolved (Court: High Court),closed
164,L240,Ownership issue resolved (Court: High Court),closed
165,L241,Ownership issue resolved (Court: High Court),closed
166,L242,Boundary dispute ongoing (Court: District Court),ongoing
167,L244,Ownership issue resolved (Court: High Court),closed
168,L246,Ownership issue resolved (Court: High Court),closed
169,L248,Ownership issue resolved (Court: High Court),closed
170,L249,Boundary dispute ongoing (Court: District Court),ongoing
171,L250,Ownership issue resolved (Court: High Court),closed
172,L251,Ownership issue resolved (Court: High Court),closed
173,L253,Ownership issue resolved (Court: High Court),closed
174,L254,Ownership issue resolved (Court: High Court),closed
175,L256,Boundary dispute ongoing (Court: District Court),ongoing
176,L258,Boundary dispute ongoing (Court: District Court),ongoing
177,L260,Ownership issue resolved (Court: High Court),closed
178,L262,Ownership issue resolved (Court: High Court),closed
179,L263,Boundary dispute ongoing (Court: District Court),ongoing
180,L267,Boundary dispute ongoing (Court: District Court),ongoing
181,L269,Ownership issue resolved (Court: High Court),closed
182,L270,Ownership issue resolved (Court: High Court),closed
183,L271,Ownership issue resolved (Court: High Court),closed
184,L274,Boundary dispute ongoing (Court: District Court),ongoing
185,L275,Ownership issue resolved (Court: High Court),closed
186,L276,Ownership issue resolved (Court: High Court),closed
187,L279,Boundary dispute ongoing (Court: District Court),ongoing
188,L280,Boundary dispute ongoing (Court: District Court),ongoing
189,L281,Ownership issue resolved (Court: High Court),closed
190,L282,Ownership issue resolved (Court: High Court),closed
191,L284,Ownership issue resolved (Court: High Court),closed
192,L285,Ownership issue resolved (Court: High Court),closed
193,L286,Boundary dispute ongoing (Court: District Court),ongoing
194,L287,Ownership issue resolved (Court: High Court),closed
195,L288,Ownership issue resolved (Court: High Court),closed
196,L289,Boundary dispute ongoing (Court: District Court),ongoing
197,L290,Boundary dispute ongoing (Court: District Court),ongoing
198,L291,Ownership issue resolved (Court: High Court),closed
199,L292,Boundary dispute ongoing (Court: District Court),ongoing
200,L293,Boundary dispute ongoing (Court: District Court),ongoing
201,L294,Boundary dispute ongoing (Court: District Court),ongoing
202,L296,Ownership issue resolved (Court: High Court),closed
203,L298,Boundary dispute ongoing (Court: District Court),ongoing
204,L299,Ownership issue resolved (Court: High Court),closed
205,L301,Boundary dispute ongoing (Court: District Court),ongoing
206,L306,Ownership issue resolved (Court: High Court),closed
207,L307,Boundary dispute ongoing (Court: District Court),ongoing
208,L308,Boundary dispute ongoing (Court: District Court),ongoing
209,L310,Boundary dispute ongoing (Court: District Court),ongoing
210,L311,Ownership issue resolved (Court: High Court),closed
211,L314,Ownership issue resolved (Court: High Court),closed
212,L315,Boundary dispute ongoing (Court: District Court),ongoing
213,L316,Ownership issue resolved (Court: High Court),closed
214,L317,Boundary dispute ongoing (Court: District Court),ongoing
215,L318,Boundary dispute ongoing (Court: District Court),ongoing
216,L319,Ownership issue resolved (Court: High Court),closed
217,L321,Ownership issue resolved (Court: High Court),closed
218,L323,Boundary dispute ongoing (Court: District Court),ongoing
219,L325,Boundary dispute ongoing (Court: District Court),ongoing
220,L326,Boundary dispute ongoing (Court: District Court),ongoing
221,L327,Ownership issue resolved (Court: High Court),closed
222,L329,Boundary dispute ongoing (Court: District Court),ongoing
223,L330,Ownership issue resolved (Court: High Court),closed
224,L331,Boundary dispute ongoing (Court: District Court),ongoing
225,L333,Ownership issue resolved (Court: High Court),closed
226,L334,Boundary dispute ongoing (Court: District Court),ongoing
227,L335,Boundary dispute ongoing (Court: District Court),ongoing
228,L337,Ownership issue resolved (Court: High Court),closed
229,L339,Boundary dispute ongoing (Court: District Court),ongoing
230,L340,Boundary dispute ongoing (Court: District Court),ongoing
231,L341,Ownership issue resolved (Court: High Court),closed
232,L342,Boundary dispute ongoing (Court: District Court),ongoing
233,L343,Ownership issue resolved (Court: High Court),closed
234,L344,Ownership issue resolved (Court: High Court),closed
235,L345,Boundary dispute ongoing (Court: District Court),ongoing
236,L347,Ownership issue resolved (Court: High Court),closed
237,L348,Ownership issue resolved (Court: High Court),closed
238,L349,Ownership issue resolved (Court: High Court),closed
239,L350,Ownership issue resolved (Court: High Court),closed
240,L353,Ownership issue resolved (Court: High Court),closed
241,L354,Boundary dispute ongoing (Court: District Court),ongoing
242,L355,Ownership issue resolved (Court: High Court),closed
243,L358,Ownership issue resolved (Court: High Court),closed
244,L359,Boundary dispute ongoing (Court: District Court),ongoing
245,L361,Boundary dispute ongoing (Court: District Court),ongoing
246,L362,Boundary dispute ongoing (Court: District Court),ongoing
247,L366,Ownership issue resolved (Court: High Court),closed
248,L367,Ownership issue resolved (Court: High Court),closed
249,L369,Ownership issue resolved (Court: High Court),closed
250,L371,Boundary dispute ongoing (Court: District Court),ongoing
251,L372,Boundary dispute ongoing (Court: District Court),ongoing
252,L374,Ownership issue resolved (Court: High Court),closed
253,L375,Ownership issue resolved (Court: High Court),closed
254,L377,Boundary dispute ongoing (Court: District Court),ongoing
255,L378,Boundary dispute ongoing (Court: District Court),ongoing
256,L379,Ownership issue resolved (Court: High Court),closed
257,L380,Ownership issue resolved (Court: High Court),closed
258,L382,Ownership issue resolved (Court: High Court),closed
259,L385,Boundary dispute ongoing (Court: District Court),ongoing
260,L387,Ownership issue resolved (Court: High Court),closed
261,L388,Boundary dispute ongoing (Court: District Court),ongoing
262,L389,Ownership issue resolved (Court: High Court),closed
263,L390,Ownership issue resolved (Court: High Court),closed
264,L392,Boundary dispute ongoing (Court: District Court),ongoing
265,L393,Ownership issue resolved (Court: High Court),closed
266,L395,Ownership issue resolved (Court: High Court),closed
267,L396,Ownership issue resolved (Court: High Court),closed
268,L397,Boundary dispute ongoing (Court: District Court),ongoing
269,L400,Ownership issue resolved (Court: High Court),closed
270,L405,Ownership issue resolved (Court: High Court),closed
271,L406,Boundary dispute ongoing (Court: District Court),ongoing
272,L407,Ownership issue resolved (Court: High Court),closed
273,L409,Boundary dispute ongoing (Court: District Court),ongoing
274,L410,Ownership issue resolved (Court: High Court),closed
275,L411,Boundary dispute ongoing (Court: District Court),ongoing
276,L412,Ownership issue resolved (Court: High Court),closed
277,L413,Ownership issue resolved (Court: High Court),closed
278,L414,Boundary dispute ongoing (Court: District Court),ongoing
279,L415,Ownership issue resolved (Court: High Court),closed
280,L417,Ownership issue resolved (Court: High Court),ongoing
281,L418,Ownership issue resolved (Court: High Court),closed
282,L420,Boundary dispute ongoing (Court: District Court),ongoing
283,L421,Boundary dispute ongoing (Court: District Court),ongoing
284,L422,Boundary dispute ongoing (Court: District Court),ongoing
285,L424,Boundary dispute ongoing (Court: District Court),ongoing
286,L426,Boundary dispute ongoing (Court: District Court),ongoing
287,L429,Ownership issue resolved (Court: High Court),closed
288,L431,Boundary dispute ongoing (Court: District Court),ongoing
289,L435,Ownership issue resolved (Court: High Court),closed
290,L436,Ownership issue resolved (Court: High Court),closed
291,L438,Boundary dispute ongoing (Court: District Court),ongoing
292,L439,Ownership issue resolved (Court: High Court),closed
293,L440,Boundary dispute ongoing (Court: District Court),ongoing
294,L441,Ownership issue resolved (Court: High Court),closed
295,L444,Boundary dispute ongoing (Court: District Court),ongoing
296,L445,Ownership issue resolved (Court: High Court),closed
297,L447,Ownership issue resolved (Court: High Court),closed
298,L448,Boundary dispute ongoing (Court: District Court),ongoing
299,L449,Ownership issue resolved (Court: High Court),closed
300,L450,Boundary dispute ongoing (Court: District Court),ongoing
301,L451,Boundary dispute ongoing (Court: District Court),ongoing
302,L453,Boundary dispute ongoing (Court: District Court),ongoing
303,L455,Ownership issue resolved (Court: High Court),closed
304,L457,Ownership issue resolved (Court: High Court),closed
305,L460,Boundary dispute ongoing (Court: District Court),ongoing
306,L462,Boundary dispute ongoing (Court: District Court),ongoing
307,L463,Ownership issue resolved (Court: High Court),closed
308,L464,Ownership issue resolved (Court: High Court),closed
309,L466,Ownership issue resolved (Court: High Court),closed
310,L469,Boundary dispute ongoing (Court: District Court),ongoing
311,L470,Ownership issue resolved (Court: High Court),closed
312,L471,Boundary dispute ongoing (Court: District Court),ongoing
313,L473,Boundary dispute ongoing (Court: District Court),ongoing
314,L474,Boundary dispute ongoing (Court: District Court),ongoing
315,L476,Boundary dispute ongoing (Court: District Court),ongoing
316,L477,Ownership issue resolved (Court: High Court),closed
317,L478,Boundary dispute ongoing (Court: District Court),ongoing
318,L479,Boundary dispute ongoing (Court: District Court),ongoing
319,L480,Boundary dispute ongoing (Court: District Court),ongoing
320,L482,Ownership issue resolved (Court: High Court),closed
321,L483,Boundary dispute ongoing (Court: District Court),ongoing
322,L486,Ownership issue resolved (Court: High Court),closed
323,L488,Boundary dispute ongoing (Court: District Court),ongoing
324,L489,Boundary dispute ongoing (Court: District Court),ongoing
325,L490,Ownership issue resolved (Court: High Court),closed
326,L492,Ownership issue resolved (Court: High Court),closed
327,L493,Ownership issue resolved (Court: High Court),closed
328,L494,Ownership issue resolved (Court: High Court),closed
329,L495,Boundary dispute ongoing (Court: District Court),ongoing
330,L496,Ownership issue resolved (Court: High Court),closed
331,L497,Boundary dispute ongoing (Court: District Court),ongoing
332,L498,Boundary dispute ongoing (Court: District Court),ongoing
333,L499,Ownership issue resolved (Court: High Court),closed
334,L500,Boundary dispute ongoing (Court: District Court),ongoing
335,L401,Boundary Dispute (Court: High Court),ongoing
336,L403,Boundary Dispute (Court: High Court),ongoing
