case_id,land_id,case_status,case_description,court_name
C207,L307,ONGOING,Boundary dispute ongoing,District Court
C208,L308,ONGOING,Boundary dispute ongoing,District Court
C209,L310,ONGOING,Boundary dispute ongoing,District Court
C210,L311,CLOSED,Ownership issue resolved,High Court
C211,L314,CLOSED,Ownership issue resolved,High Court
C212,L315,ONGOING,Boundary dispute ongoing,District Court
C213,L316,CLOSED,Ownership issue resolved,High Court
C214,L317,ONGOING,Boundary dispute ongoing,District Court
C215,L318,ONGOING,Boundary dispute ongoing,District Court
C216,L319,CLOSED,Ownership issue resolved,High Court
C217,L321,CLOSED,Ownership issue resolved,High Court
C218,L323,ONGOING,Boundary dispute ongoing,District Court
C219,L325,ONGOING,Boundary dispute ongoing,District Court
C220,L326,ONGOING,Boundary dispute ongoing,District Court
C221,L327,CLOSED,Ownership issue resolved,High Court
C222,L329,ONGOING,Boundary dispute ongoing,District Court
C223,L330,CLOSED,Ownership issue resolved,High Court
C224,L331,ONGOING,Boundary dispute ongoing,District Court
C225,L333,CLOSED,Ownership issue resolved,High Court
C226,L334,ONGOING,Boundary dispute ongoing,District Court
C227,L335,ONGOING,Boundary dispute ongoing,District Court
C228,L337,CLOSED,Ownership issue resolved,High Court
C229,L339,ONGOING,Boundary dispute ongoing,District Court
C230,L340,ONGOING,Boundary dispute ongoing,District Court
C231,L341,CLOSED,Ownership issue resolved,High Court
C232,L342,ONGOING,Boundary dispute ongoing,District Court
C233,L343,CLOSED,Ownership issue resolved,High Court
C234,L344,CLOSED,Ownership issue resolved,High Court
C235,L345,ONGOING,Boundary dispute ongoing,District Court
C236,L347,CLOSED,Ownership issue resolved,High Court
C237,L348,CLOSED,Ownership issue resolved,High Court
C238,L349,CLOSED,Ownership issue resolved,High Court
C239,L350,CLOSED,Ownership issue resolved,High Court
C240,L353,CLOSED,Ownership issue resolved,High Court
C241,L354,ONGOING,Boundary dispute ongoing,District Court
C242,L355,CLOSED,Ownership issue resolved,High Court
C243,L358,CLOSED,Ownership issue resolved,High Court
C244,L359,ONGOING,Boundary dispute ongoing,District Court
C245,L361,ONGOING,Boundary dispute ongoing,District Court
C246,L362,ONGOING,Boundary dispute ongoing,District Court
C247,L366,CLOSED,Ownership issue resolved,High Court
C248,L367,CLOSED,Ownership issue resolved,High Court
C249,L369,CLOSED,Ownership issue resolved,High Court
C250,L371,ONGOING,Boundary dispute ongoing,District Court
C251,L372,ONGOING,Boundary dispute ongoing,District Court
C252,L374,CLOSED,Ownership issue resolved,High Court
C253,L375,CLOSED,Ownership issue resolved,High Court
C254,L377,ONGOING,Boundary dispute ongoing,District Court
C255,L378,ONGOING,Boundary dispute ongoing,District Court
C256,L379,CLOSED,Ownership issue resolved,High Court
C257,L380,CLOSED,Ownership issue resolved,High Court
C258,L382,CLOSED,Ownership issue resolved,High Court
C259,L385,ONGOING,Boundary dispute ongoing,District Court
C260,L387,CLOSED,Ownership issue resolved,High Court
C261,L388,ONGOING,Boundary dispute ongoing,District Court
C262,L389,CLOSED,Ownership issue resolved,High Court
C263,L390,CLOSED,Ownership issue resolved,High Court
C264,L392,ONGOING,Boundary dispute ongoing,District Court
C265,L393,CLOSED,Ownership issue resolved,High Court
C266,L395,CLOSED,Ownership issue resolved,High Court
C267,L396,CLOSED,Ownership issue resolved,High Court
C268,L397,ONGOING,Boundary dispute ongoing,District Court
C269,L400,CLOSED,Ownership issue resolved,High Court
C270,L405,CLOSED,Ownership issue resolved,High Court
C271,L406,ONGOING,Boundary dispute ongoing,District Court
C272,L407,CLOSED,Ownership issue resolved,High Court
C273,L409,ONGOING,Boundary dispute ongoing,District Court
C274,L410,CLOSED,Ownership issue resolved,High Court
C275,L411,ONGOING,Boundary dispute ongoing,District Court
C276,L412,CLOSED,Ownership issue resolved,High Court
C277,L413,CLOSED,Ownership issue resolved,High Court
C278,L414,ONGOING,Boundary dispute ongoing,District Court
C279,L415,CLOSED,Ownership issue resolved,High Court
C280,L417,ONGOING,Ownership issue resolved,High Court
C281,L418,CLOSED,Ownership issue resolved,High Court
C282,L420,ONGOING,Boundary dispute ongoing,District Court
C283,L421,ONGOING,Boundary dispute ongoing,District Court
C284,L422,ONGOING,Boundary dispute ongoing,District Court
C285,L424,ONGOING,Boundary dispute ongoing,District Court
C286,L426,ONGOING,Boundary dispute ongoing,District Court
C287,L429,CLOSED,Ownership issue resolved,High Court
C288,L431,ONGOING,Boundary dispute ongoing,District Court
C289,L435,CLOSED,Ownership issue resolved,High Court
C290,L436,CLOSED,Ownership issue resolved,High Court
C291,L438,ONGOING,Boundary dispute ongoing,District Court
C292,L439,CLOSED,Ownership issue resolved,High Court
C293,L440,ONGOING,Boundary dispute ongoing,District Court
C294,L441,CLOSED,Ownership issue resolved,High Court
C295,L444,ONGOING,Boundary dispute ongoing,District Court
C296,L445,CLOSED,Ownership issue resolved,High Court
C297,L447,CLOSED,Ownership issue resolved,High Court
C298,L448,ONGOING,Boundary dispute ongoing,District Court
C299,L449,CLOSED,Ownership issue resolved,High Court
C300,L450,ONGOING,Boundary dispute ongoing,District Court
C301,L451,ONGOING,Boundary dispute ongoing,District Court
C302,L453,ONGOING,Boundary dispute ongoing,District Court
C303,L455,CLOSED,Ownership issue resolved,High Court
C304,L457,CLOSED,Ownership issue resolved,High Court
C305,L460,ONGOING,Boundary dispute ongoing,District Court
C306,L462,ONGOING,Boundary dispute ongoing,District Court
C307,L463,CLOSED,Ownership issue resolved,High Court
C308,L464,CLOSED,Ownership issue resolved,High Court
C309,L466,CLOSED,Ownership issue resolved,High Court
C310,L469,ONGOING,Boundary dispute ongoing,District Court
C311,L470,CLOSED,Ownership issue resolved,High Court
C312,L471,ONGOING,Boundary dispute ongoing,District Court
C313,L473,ONGOING,Boundary dispute ongoing,District Court
C314,L474,ONGOING,Boundary dispute ongoing,District Court
C315,L476,ONGOING,Boundary dispute ongoing,District Court
C316,L477,CLOSED,Ownership issue resolved,High Court
C317,L478,ONGOING,Boundary dispute ongoing,District Court
C318,L479,ONGOING,Boundary dispute ongoing,District Court
C319,L480,ONGOING,Boundary dispute ongoing,District Court
C320,L482,CLOSED,Ownership issue resolved,High Court
C321,L483,ONGOING,Boundary dispute ongoing,District Court
C322,L486,CLOSED,Ownership issue resolved,High Court
C323,L488,ONGOING,Boundary dispute ongoing,District Court
C324,L489,ONGOING,Boundary dispute ongoing,District Court
C325,L490,CLOSED,Ownership issue resolved,High Court
C326,L492,CLOSED,Ownership issue resolved,High Court
C327,L493,CLOSED,Ownership issue resolved,High Court
C328,L494,CLOSED,Ownership issue resolved,High Court
C329,L495,ONGOING,Boundary dispute ongoing,District Court
C330,L496,CLOSED,Ownership issue resolved,High Court
C331,L497,ONGOING,Boundary dispute ongoing,District Court
C332,L498,ONGOING,Boundary dispute ongoing,District Court
C333,L499,CLOSED,Ownership issue resolved,High Court
C334,L500,ONGOING,Boundary dispute ongoing,District Court
C335,L401,Ongoing,Boundary Dispute,High Court
C336,L403,Ongoing,Boundary Dispute,High Court
C337,L501,ONGOING,"This case pertains to a legal dispute concerning the ownership and boundary demarcation of the specified land parcel. The claimant asserts rightful ownership based on duly registered title deeds and supporting revenue records. However, the opposing party has contested the claim, citing discrepancies in survey numbers and alleging unauthorized encroachment on the property.
The matter is currently under judicial consideration, with both parties having submitted relevant documentation for verification. The court has directed the appropriate revenue authorities to conduct a detailed land survey and authenticate the records. The final adjudication of this case will determine the legitimate ownership and may necessitate updates to the official land registry.",Madras High Court
C001,L502,PENDING,"This judicial case pertains to a land ownership conflict arising due to unclear boundary demarcation and overlapping survey records. The plaintiff asserts ownership through valid registration and revenue documents, whereas the opposing party disputes the claim, alleging partial encroachment and manipulation of land records. The court has initiated proceedings and directed the concerned revenue authorities to conduct a detailed survey and submit verification reports. The final judgment will determine the rightful ownership and update official land records accordingly.",Madras High Court
